day,wind_spread,wind_mean,t2m_spread,n_valid_times,lear_mae
2023-07-13 00:00:00+00:00,0.2299,4.0338,0.3705,8,15.217
2023-07-14 00:00:00+00:00,0.1884,2.697,0.2812,8,5.8408
2023-07-15 00:00:00+00:00,0.23,4.3316,0.3511,8,16.5514
2023-07-16 00:00:00+00:00,0.3316,5.1017,0.5532,8,23.3674
2023-07-17 00:00:00+00:00,0.2897,4.482,0.4819,8,14.1141
2023-07-18 00:00:00+00:00,0.2042,3.2431,0.41,8,14.4652
2023-07-19 00:00:00+00:00,0.2235,3.2185,0.3011,8,7.9472
2023-07-20 00:00:00+00:00,0.1873,3.7658,0.3262,8,12.8855
2023-07-21 00:00:00+00:00,0.1911,2.7214,0.3413,8,6.9714
2023-07-22 00:00:00+00:00,0.2023,3.8654,0.3224,8,9.5029
2023-07-23 00:00:00+00:00,0.3659,4.6179,0.3118,8,20.0629
2023-07-24 00:00:00+00:00,0.2832,4.4432,0.2418,8,8.2892
2023-07-25 00:00:00+00:00,0.2224,4.1921,0.2966,8,9.9803
2023-07-26 00:00:00+00:00,0.2421,4.5169,0.3016,8,12.861
2023-07-27 00:00:00+00:00,0.271,4.0703,0.2691,8,6.2624
2023-07-28 00:00:00+00:00,0.2121,3.3636,0.2139,8,8.8128
2023-07-29 00:00:00+00:00,0.198,3.6617,0.1939,8,9.9398
2023-07-30 00:00:00+00:00,0.2602,4.8021,0.2859,8,11.413
2023-07-31 00:00:00+00:00,0.2478,4.8533,0.2669,8,9.9269
2023-08-01 00:00:00+00:00,0.2574,4.8125,0.2111,8,8.4161
2023-08-02 00:00:00+00:00,0.2872,5.1098,0.1997,8,13.0026
2023-08-03 00:00:00+00:00,0.4039,5.9282,0.2844,8,22.8922
2023-08-04 00:00:00+00:00,0.2589,3.6326,0.2388,8,6.5498
2023-08-05 00:00:00+00:00,0.2182,2.763,0.2896,8,5.9775
2023-08-06 00:00:00+00:00,0.2849,4.6599,0.2109,8,17.6892
2023-08-07 00:00:00+00:00,0.5508,7.4811,0.2901,8,25.6815
2023-08-08 00:00:00+00:00,0.4085,7.1166,0.3036,8,17.7548
2023-08-09 00:00:00+00:00,0.2617,4.684,0.3275,8,7.1319
2023-08-10 00:00:00+00:00,0.1587,2.9213,0.2881,8,11.9164
2023-08-11 00:00:00+00:00,0.1502,2.3003,0.303,8,9.6962
2023-08-12 00:00:00+00:00,0.1463,3.0547,0.2604,8,19.9544
2023-08-13 00:00:00+00:00,0.1679,2.8419,0.2419,8,18.402
2023-08-14 00:00:00+00:00,0.1216,2.4324,0.2358,8,13.1889
2023-08-15 00:00:00+00:00,0.1946,2.9126,0.2455,8,13.2282
2023-08-16 00:00:00+00:00,0.1522,2.306,0.1974,8,8.0035
2023-08-17 00:00:00+00:00,0.1398,2.7212,0.2623,8,4.8492
2023-08-18 00:00:00+00:00,0.1466,2.7248,0.2257,8,10.778
2023-08-19 00:00:00+00:00,0.1402,2.9286,0.2005,8,11.9711
2023-08-20 00:00:00+00:00,0.1345,2.186,0.2118,8,7.2192
2023-08-21 00:00:00+00:00,0.1862,2.3294,0.2428,8,14.2309
2023-08-22 00:00:00+00:00,0.1674,2.507,0.2754,8,8.5905
2023-08-23 00:00:00+00:00,0.1711,2.435,0.3346,8,23.4263
2023-08-24 00:00:00+00:00,0.1612,2.171,0.2776,8,14.5539
2023-08-25 00:00:00+00:00,0.249,2.9664,0.3097,8,13.4137
2023-08-26 00:00:00+00:00,0.3949,3.1825,0.2847,8,15.5188
2023-08-27 00:00:00+00:00,0.2543,2.5005,0.3496,8,6.8458
2023-08-28 00:00:00+00:00,0.1761,3.1754,0.23,8,14.1378
2023-08-29 00:00:00+00:00,0.1975,2.607,0.1957,8,10.7565
2023-08-30 00:00:00+00:00,0.1941,2.7678,0.2329,8,8.2245
2023-08-31 00:00:00+00:00,0.2293,3.6966,0.2292,8,11.3578
2023-09-01 00:00:00+00:00,0.1606,3.021,0.1721,8,23.7415
